id_number,Headline,URL,Author,Published
19,Snap’s chief business officer is leaving to run ads at Netflix,https://www.theverge.com/2022/8/30/23329583/snaps-chief-business-officer-is-leaving-to-run-ads-at-netflix,Alex Heath,"
August30
"
20,Apple Arcade’s latest exclusive is... a Tom Hanks passion project?,https://www.theverge.com/2022/8/30/23329295/apple-arcade-tom-hanks-trivia-hanx-writer-101,Mitchell Clark,"
August30
"
21,Snap plans to lay off 20 percent of employees,https://www.theverge.com/2022/8/30/23329301/snap-layoffs-20-percent-employees-snapchat,Alex Heath,"
August30
"
22,Virginia judge shuts down demand to ban book sales to minors,https://www.theverge.com/2022/8/30/23329075/virginia-judge-dismisses-gender-queer-obscenity-minors-case-aclu,Adi Robertson,"
August30
"
23,Logitech’s new G502 X gaming mice have clicky optical buttons,https://www.theverge.com/2022/8/30/23328970/logitech-g502-x-lightspeed-plus-gaming-mouse-mice-optical-buttons-usb-c,Umar Shakir,"
August30
"
24,Google’s open-source bug bounty aims to clamp down on supply chain attacks,https://www.theverge.com/2022/8/30/23328977/google-open-source-bug-bounty-supply-chain-hacks-dependencies,Mitchell Clark,"
August30
"
25,Elon Musk pushes to delay the Twitter trial while citing whistleblower’s testimony,https://www.theverge.com/2022/8/30/23329134/elon-musk-twitter-lawsuit-delay-whistleblower-testimony,Richard Lawler,"
August30
"
26,Netflix’s Cyberpunk: Edgerunners anime gets September release date in new trailer,https://www.theverge.com/2022/8/30/23329032/cyberpunk-edgerunners-anime-netflix-release-date,Andrew Webster,"
August30
"
27,Instagram is testing more ways to flag posts you’re not interested in,https://www.theverge.com/2022/8/30/23329021/instagram-explore-page-not-interested-flag-posts,Mia Sato,"
August30
"
28,Cox is getting into the mobile industry — again,https://www.theverge.com/2022/8/30/23328728/cox-mobile-communications-launch,Jasmine Hicks,"
August30
"
29,How to quickly record voice notes on your iPhone,https://www.theverge.com/23328768/record-voice-notes-iphone-how-to,Sheena Vasani,"
August30
"
30,The security flaws that make Twitter’s insider threat so scary,https://www.theverge.com/2022/8/30/23327525/twitter-zatko-whistleblower-insider-threat-free-expression,Corin Faife,"
August30
"
